Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> > std::multimap<float, entityx::Entity, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::emplace<float, entityx::Entity&>(float&&, entityx::Entity&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*& std::forward<std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*&>::type&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.43     0.00    25960     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.43     0.00    25960     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.43     0.00    21712     0.00     0.00  vline(SDL_Renderer*, short, short, short)
  0.00      0.43     0.00     4068     0.00     0.00  __gcc_deregister_frame
  0.00      0.43     0.00     2832     0.00     0.00  _ellipseRGBA(SDL_Renderer*, short, short, short, short, unsigned char, unsigned char, unsigned char, unsigned char, int)
  0.00      0.43     0.00     2832     0.00     0.00  vec2<int>::vec2(vec2<int> const&)
  0.00      0.43     0.00     1888     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.43     0.00     1596     0.00     0.00  std::bitset<64ull>::_M_check(unsigned long long, char const*) const
  0.00      0.43     0.00     1419     0.00     0.00  entityx::EntityManager::capacity() const
  0.00      0.43     0.00     1416     0.00     0.00  renderOvalOffset(SDL_Renderer*, View*, vec2<int>, vec2<int>, float, int, int, int, SDL_Color)
  0.00      0.43     0.00     1416     0.00     0.00  vec2<int>::rotate(double)
  0.00      0.43     0.00     1416     0.00     0.00  vec2<int>::operator+(vec2<int> const&)
  0.00      0.43     0.00     1416     0.00     0.00  vec2<int> View::viewCoordFromGlobal<int>(vec2<int>) const
  0.00      0.43     0.00     1416     0.00     0.00  ellipseColor
  0.00      0.43     0.00     1416     0.00     0.00  filledEllipseColor
  0.00      0.43     0.00     1338     0.00     0.00  std::vector<std::shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> > >, std::allocator<std::shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> > > > >::operator[](unsigned long long)
  0.00      0.43     0.00      950     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.43     0.00      950     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.43     0.00      944     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::ViewIterator(entityx::EntityManager*, std::bitset<64ull>, unsigned int)
  0.00      0.43     0.00      944     0.00     0.00  entityx::EntityManager::BaseView<false>::Iterator::Iterator(entityx::EntityManager*, std::bitset<64ull>, unsigned int)
  0.00      0.43     0.00      930     0.00     0.00  std::bitset<64ull>::_Unchecked_set(unsigned long long, int)
  0.00      0.43     0.00      930     0.00     0.00  std::bitset<64ull>::set(unsigned long long, bool)
  0.00      0.43     0.00      711     0.00     0.00  bool std::__detail::operator!=<std::pair<unsigned long long const, std::shared_ptr<entityx::BaseSystem> >, false>(std::__detail::_Node_iterator_base<std::pair<unsigned long long const, std::shared_ptr<entityx::BaseSystem> >, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned long long const, std::shared_ptr<entityx::BaseSystem> >, false> const&)
  0.00      0.43     0.00      699     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.43     0.00      698     0.00     0.00  std::vector<std::shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> > >, std::allocator<std::shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> > > > >::size() const
  0.00      0.43     0.00      685     0.00     0.00  std::shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> > >::~shared_ptr()
  0.00      0.43     0.00      685     0.00     0.00  std::__shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> >, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.43     0.00      678     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.43     0.00      676     0.00     0.00  __gnu_cxx::__normal_iterator<entityx::BasePool**, std::vector<entityx::BasePool*, std::allocator<entityx::BasePool*> > >::base() const
  0.00      0.43     0.00      670     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.43     0.00      670     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.43     0.00      666     0.00     0.00  Simple::Lib::ProtoSignal<void (void const*), Simple::Lib::CollectorDefault<void> >::emit(void const*)
  0.00      0.43     0.00      666     0.00     0.00  Simple::Lib::CollectorDefault<void>::result()
  0.00      0.43     0.00      666     0.00     0.00  entityx::EventManager::signal_for(unsigned long long)
  0.00      0.43     0.00      666     0.00     0.00  entityx::BaseEvent::BaseEvent()
  0.00      0.43     0.00      666     0.00     0.00  entityx::BaseEvent::~BaseEvent()
  0.00      0.43     0.00      666     0.00     0.00  std::__shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> >, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.43     0.00      666     0.00     0.00  std::__shared_ptr<Simple::Signal<void (void const*), Simple::Lib::CollectorDefault<void> >, (__gnu_cxx::_Lock_policy)2>::operator bool() const
